EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1154358,SOUTHWEST SUFFOLK (ZONE), ,01/09/2024,2330,High Wind,59.00, ,0,0,0,0,NY,EST-5,MG,187949,Z,80,OKX,0,0,ASOS, , , , , , , , ,01/10/2024,30, , , , ,"Multiple high wind gusts were measured, including a sustained wind of 40 mph along with a gust of 59 mph at 1140 PM Local Standard Time on January 9, 2024 at ASOS reporting station KFRG, Farmingdale Airport in Farmingdale, NY. A measured wind gust of 60 mph was recorded at 1149 PM Local Standard Time on January 9, 2024 at a mesonet site located at the Fire Island Campgrounds near Captree State Park, NYC. Additionally, a wind gust of 58 mph was recorded at 1201 AM Local Standard Time at ASOS reporting station KISP, Islip Airport in Ronkonkoma, NY.","A strong area of low pressure moved northeast from the Mid-Atlantic Region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024. Its center passed just north of the region during this period. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during this period.",11
1154360,NORTHEAST SUFFOLK (ZONE), ,01/10/2024,0,High Wind,56.00, ,0,0,0,0,NY,EST-5,MG,187949,Z,79,OKX,0,0,Mesonet, , , , , , , , ,01/10/2024,200, , , , ,"A couple of measured high wind gusts were recorded by mesonet stations, including 64 mph at Great Gull Island, NY at 131 AM Local Standard Time and 63 mph at Orient, NY at 1255 AM Local Standard Time. Additionally, the public reported a downed power pole on Captain Daniel Rowe Highway in Manorville, NY at 1250 AM Local Standard Time.","A strong area of low pressure moved northeast from the Mid-Atlantic Region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024. Its center passed just north of the region during this period. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during this period.",12
1160577,SOUTHEAST SUFFOLK (ZONE), ,01/10/2024,400,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188720,Z,81,OKX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,1000, , , , ,"Widespread moderate to major coastal flooding occurred for several hours:||Major coastal flooding occurred at the East Moriches USGS tidal gauge, with water levels above the major threshold of 6.3 ft MLLW from 636 AM EST to 754 AM EST, and a peak water level of 6.4 ft MLLW at 700 AM EST. Moderate coastal flooding above the threshold of 5.3 ft MLLW occurred from 448 AM EST to 924 AM EST. ||Major coastal flooding occurred at the Ponquoque USGS tidal gauge, with water levels above the major threshold of 6.9 ft MLLW from 518 AM EST to 724 AM EST, and a peak water level of 7.1 ft MLLW at 712 AM EST. Moderate coastal flooding above the threshold of 5.9 ft MLLW occurred from 406 AM EST to 842 AM EST.||Moderate coastal flooding occurred at the Montauk NOS tidal gauge, with water levels above the moderate threshold of 4.9 ft MLLW from 530 AM EST to 836 AM EST, |and a peak water level of 5.2 ft MLLW at 824 AM EST.","Strong low pressure moving northeast from the Mid Atlantic region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024 produced high winds, which combined with high astronomical tides associated with an upcoming new moon to produce widespread moderate to major coastal flooding along the south shore of Long Island and along the Hudson River in Southeast New York.",13
1160576,SOUTHWEST SUFFOLK (ZONE), ,01/10/2024,500,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188720,Z,80,OKX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,1500, , , , ,"Widespread major coastal flooding occurred for several hours along the Great South Bay:||Major coastal flooding occurred at at the Lindenhurst USGS tidal gauge, with water levels above the major threshold of 4.1 ft MLLW from 712 AM EST to 1018 AM EST, and a peak water level of 4.5 ft MLLW at 900 AM EST. Moderate coastal flooding above the threshold of 3.6 ft MLLW occurred from 554 AM EST to 1148 AM EST. ||Major coastal flooding occurred at the West Sayville USGS tidal gauge, with water levels above the major threshold of 4.1 ft MLLW from 648 AM EST to 1254 PM EST, and a peak water level of 4.9 ft MLLW at 954 AM EST.  Moderate coastal flooding above the threshold of 3.6 ft MLLW occurred from 524 AM EST to 236 PM EST. ||Major coastal flooding occurred at the Watch Hill USGS tidal gauge on Fire Island, with water levels above the major threshold of 4.2 ft MLLW from 706 AM EST to 1236 AM EST, |and a peak water level of 4.9 ft MLLW from 1012 AM EST to 1018 AM EST. Moderate coastal flooding above the threshold of 3.7 ft MLLW occurred from 606 AM EST to 206 PM EST.","Strong low pressure moving northeast from the Mid Atlantic region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024 produced high winds, which combined with high astronomical tides associated with an upcoming new moon to produce widespread moderate to major coastal flooding along the south shore of Long Island and along the Hudson River in Southeast New York.",14
1160573,NORTHEAST SUFFOLK (ZONE), ,01/10/2024,700,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188720,Z,79,OKX,0,0,River/Stream Gage, , , , , , , , ,01/10/2024,900, , , , ,"Moderate coastal flooding occurred at the Orient Harbor USGS tidal gauge, with water levels at the moderate threshold of 5.8 ft MLLW from 754 AM to 830 AM EST.","Strong low pressure moving northeast from the Mid Atlantic region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024 produced high winds, which combined with high astronomical tides associated with an upcoming new moon to produce widespread moderate to major coastal flooding along the south shore of Long Island and along the Hudson River in Southeast New York.",15
1154650,NORTHEAST SUFFOLK (ZONE), ,01/13/2024,500,High Wind,52.00, ,0,0,0,0,NY,EST-5,MG,187986,Z,79,OKX,0,0,Mesonet, , , , , , , , ,01/13/2024,600, , , , ,"A measured high wind gust of 60 mph occurred at a mesonet station located at Great Gull Island, NY at 636 AM Local Standard Time.","A strong area of low pressure shifted northeast through the eastern Great Lakes Region on January 13, 2024. This sent a warm front, quickly followed by a cold front, across Southeastern New York during the morning hours. The resulting strong pressure gradient helped produce high winds across the area during this period.",16
1160609,SOUTHEAST SUFFOLK (ZONE), ,01/13/2024,700,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188725,Z,81,OKX,0,0,River/Stream Gage, , , , , , , , ,01/13/2024,1200, , , , ,"Moderate coastal flooding occurred at at the East Moriches USGS tidal gauge, with water levels above the moderate threshold of 5.3 ft MLLW from 954 AM EST to 1106 AM EST, and a peak water level of 5.4 ft MLLW at 1100 AM EST. ||Moderate coastal flooding occurred at the Ponquoque Inlet USGS tidal gauge, with water levels above the moderate threshold of 5.9 ft MLLW from 748 AM EST to 1054 AM EST, and a peak water level of 6.6 ft MLLW from 948 AM EST to 954 AM EST. ||Moderate coastal flooding occurred at the Montauk NOS tidal gauge, with water levels above the moderate threshold of 4.9 ft MLLW from 754 AM EST to 1148 AM EST, and a peak water level of 5.8 ft MLLW at 1048 AM EST.","Strong low pressure shifted northeast through the eastern Great Lakes on January 13, 2024, sending a warm front through during the morning hours, followed quickly by a cold front. Strong winds produced by this system, combined with peaking high astronomical tides associated with a recent new moon, produced widespread moderate to major coastal flooding along the entire southeast New York coastline and along the Lower Hudson River.",17
1160607,NORTHEAST SUFFOLK (ZONE), ,01/13/2024,900,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188725,Z,79,OKX,0,0,River/Stream Gage, , , , , , , , ,01/13/2024,1400, , , , ,"Moderate coastal flooding occurred at the Orient Harbor USGS tidal gauge, with water levels at the moderate threshold of 5.8 ft MLLW from 0924 AM EST to 1218 PM EST, and a peak water level of 6.2 ft MLLW at 1136 AM EST.||Moderate coastal flooding occurred at the Riverhead USGS tidal gauge, with water levels at or just above the moderate threshold of 6.4 ft MLLW from 1206 PM EST to 118 PM EST.||Moderate coastal flooding occurred at the nearby Old Field NY USGS tidal gauge, with water levels above the moderate threshold of 10.2 ft MLLW from 1130 AM EST to 118 PM EST, and a peak water level of 10.8 ft MLLW from 1212 PM EST to 1224 PM EST.","Strong low pressure shifted northeast through the eastern Great Lakes on January 13, 2024, sending a warm front through during the morning hours, followed quickly by a cold front. Strong winds produced by this system, combined with peaking high astronomical tides associated with a recent new moon, produced widespread moderate to major coastal flooding along the entire southeast New York coastline and along the Lower Hudson River.",18
1160608,SOUTHWEST SUFFOLK (ZONE), ,01/13/2024,1000,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188725,Z,80,OKX,0,0,River/Stream Gage, , , , , , , , ,01/13/2024,1600, , , , ,"Moderate coastal flooding occurred at at the Lindenhurst USGS tidal gauge, with water levels above the moderate threshold of 3.6 ft MLLW from 1030 AM EST to 106 PM EST, and a peak water level of 3.8 ft MLLW from 1118 AM EST to 1230 PM EST. ||Major coastal flooding occurred at the West Sayville USGS tidal gauge, with water levels at the major threshold of 4.1 ft MLLW from 1218 PM EST to 1254 PM EST. Moderate coastal flooding above the threshold of 3.6 ft MLLW occurred from 1036 AM EST to 312 PM EST.||Moderate coastal flooding occurred at the Watch Hill USGS tidal gauge on Fire Island, with water levels above the moderate threshold of 3.7 ft MLLW from 1112 AM EST to 306 PM EST, and a peak water level of 3.9 ft MLLW from 154 PM EST to 212 PM EST. ||Moderate coastal flooding occurred at at the nearby East Moriches USGS tidal gauge, with water levels above the moderate threshold of 5.3 ft MLLW from 954 AM EST to 1106 AM EST, and a peak water level of 5.4 ft MLLW at 1100 AM EST.","Strong low pressure shifted northeast through the eastern Great Lakes on January 13, 2024, sending a warm front through during the morning hours, followed quickly by a cold front. Strong winds produced by this system, combined with peaking high astronomical tides associated with a recent new moon, produced widespread moderate to major coastal flooding along the entire southeast New York coastline and along the Lower Hudson River.",19
1160604,NORTHWEST SUFFOLK (ZONE), ,01/13/2024,1100,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,188725,Z,78,OKX,0,0,River/Stream Gage, , , , , , , , ,01/13/2024,1400, , , , ,"Moderate coastal flooding occurred at the Old Field NY USGS tidal gauge, with water levels above the moderate threshold of 10.2 ft MLLW from 1130 AM EST to 118 PM EST, and a peak water level of 10.8 ft MLLW from 1212 PM EST to 1224 PM EST.","Strong low pressure shifted northeast through the eastern Great Lakes on January 13, 2024, sending a warm front through during the morning hours, followed quickly by a cold front. Strong winds produced by this system, combined with peaking high astronomical tides associated with a recent new moon, produced widespread moderate to major coastal flooding along the entire southeast New York coastline and along the Lower Hudson River.",20
